,school_name,school_id,num_sitters,average_300,grade,region_name,council_name,num_sitters_girls,num_sitters_boys,ratio_sitters_girls_boys,pct_passed,approx_marks_SD_300
387,SUMAWE,PS0103042,89,171.573,C,Arusha,Karatu,43,46,0.9347826086956522,0.9662921348314607,32.67218959965344
388,TIDIVI,PS0103112,32,179.0,C,Arusha,Karatu,17,15,1.1333333333333333,0.96875,33.33072906493346
389,TLOMA,PS0103043,86,167.2558,C,Arusha,Karatu,39,47,0.8297872340425532,1.0,27.72105049260827
390,TUMAINI JUNIOR,PS0103090,72,270.4861,A,Arusha,Karatu,35,37,0.9459459459459459,1.0,6.992534013156769
391,UMBANG'W,PS0103071,81,104.5926,D,Arusha,Karatu,41,40,1.025,0.25925925925925924,28.303663962285626
392,UMOJA,PS0103076,44,161.0455,C,Arusha,Karatu,23,21,1.0952380952380953,0.8636363636363636,37.49380114054779
393,YAMAWEEGA,PS0103106,38,101.6316,D,Arusha,Karatu,17,21,0.8095238095238095,0.3157894736842105,30.51125209658537
394,ABERNATHY,PS0104031,18,184.1667,B,Arusha,Longido,7,11,0.6363636363636364,1.0,29.249881291307073
395,BUGURUNI,PS0104036,108,151.213,C,Arusha,Longido,53,55,0.9636363636363636,0.8981481481481481,29.87112235282237
396,ELANG'ATADAPASH,PS0104001,35,136.7429,C,Arusha,Longido,11,24,0.4583333333333333,0.6857142857142857,42.02627093830229
397,ELERAI,PS0104002,40,161.225,C,Arusha,Longido,16,24,0.6666666666666666,0.875,36.864617182333525
398,EMURUTOTO,PS0104029,29,139.4138,C,Arusha,Longido,16,13,1.2307692307692308,0.6206896551724138,44.758567557484
399,ENGARENAIBOR,PS0104003,72,160.125,C,Arusha,Longido,40,32,1.25,0.9583333333333334,27.028791233711424
400,ENGIKARETI,PS0104004,54,130.4815,C,Arusha,Longido,30,24,1.25,0.5555555555555556,37.05184889007349
401,EORENDEKE,PS0104023,61,166.8033,C,Arusha,Longido,28,33,0.8484848484848485,0.9180327868852459,36.246935946272025
402,GELAI BOMBA,PS0104005,58,112.069,D,Arusha,Longido,16,42,0.38095238095238093,0.3620689655172414,32.87083124172551
403,GELAI LUMBWA,PS0104006,36,143.6389,C,Arusha,Longido,9,27,0.3333333333333333,0.6944444444444444,38.72983346207417
404,GREEN EDEN,PS0104049,28,266.4643,A,Arusha,Longido,13,15,0.8666666666666667,1.0,11.088218116311474
405,ILOIRIENITO,PS0104007,47,78.8936,D,Arusha,Longido,24,23,1.0434782608695652,0.0,16.81215621656151
406,IRKASWA,PS0104024,116,138.7155,C,Arusha,Longido,70,46,1.5217391304347827,0.7155172413793104,37.458991834079356
407,IRNG'ONG'WEN,PS0104032,23,123.2174,C,Arusha,Longido,13,10,1.3,0.43478260869565216,39.04338142720635
408,KAMWANGA,PS0104008,91,147.3736,C,Arusha,Longido,58,33,1.7575757575757576,0.8461538461538461,31.118224154537817
409,KARAO,PS0104052,11,143.9091,C,Arusha,Longido,3,8,0.375,0.7272727272727273,34.49757447456414
410,KETUMBEINE,PS0104009,96,246.1458,A,Arusha,Longido,48,48,1.0,0.9895833333333334,33.961837494145286
411,KIMOKOUWA,PS0104010,41,203.5122,B,Arusha,Longido,20,21,0.9523809523809523,1.0,12.92452809706514
412,KIMWATI,PS0104040,24,142.9167,C,Arusha,Longido,10,14,0.7142857142857143,0.7083333333333334,39.92179855667828
413,KISERIAN,PS0104011,33,102.9697,D,Arusha,Longido,19,14,1.3571428571428572,0.21212121212121213,24.528613751330987
414,KITARINI,PS0104030,54,162.6481,C,Arusha,Longido,25,29,0.8620689655172413,0.9259259259259259,29.8142396999972
415,KITENDENI,PS0104021,67,150.3134,C,Arusha,Longido,30,37,0.8108108108108109,0.8955223880597015,27.426972234830245
416,LERANG'WA,PS0104012,87,136.9195,C,Arusha,Longido,41,46,0.8913043478260869,0.632183908045977,37.164671959468905
417,LESING'ITA,PS0104041,26,162.0385,C,Arusha,Longido,12,14,0.8571428571428571,0.9615384615384616,28.91530173725
418,LONGIDO MODERN,PS0104050,14,209.7857,B,Arusha,Longido,5,9,0.5555555555555556,1.0,22.630665092988767
419,LONGIDO,PS0104013,115,220.2174,B,Arusha,Longido,45,70,0.6428571428571429,1.0,20.203646098909502
420,LOPOLOSEK,PS0104042,50,99.42,D,Arusha,Longido,12,38,0.3157894736842105,0.16,24.04423475596593
421,LOSIRWA,PS0104022,64,88.7813,D,Arusha,Longido,32,32,1.0,0.078125,19.667820955874692
422,MAASAI,PS0104046,6,171.8333,C,Arusha,Longido,3,3,1.0,1.0,28.284271247461902
423,MAGADINI,PS0104033,43,95.2326,D,Arusha,Longido,11,32,0.34375,0.16279069767441862,24.50452905677261
424,MAIROWA INTERGRITY,PS0104037,33,223.6667,B,Arusha,Longido,21,12,1.75,1.0,36.88733684931335
425,MANGULA,PS0104043,18,135.3333,C,Arusha,Longido,10,8,1.25,0.7222222222222222,26.8741924943285
426,MATALE,PS0104014,18,200.7222,B,Arusha,Longido,9,9,1.0,1.0,31.940389235357998
427,MUNDARARA,PS0104015,45,124.6444,C,Arusha,Longido,15,30,0.5,0.5333333333333333,32.38655413730965
428,NAMANGA,PS0104016,77,168.4935,C,Arusha,Longido,40,37,1.0810810810810811,0.948051948051948,32.29773783282499
429,NEW VISION ENGIKARET,PS0104038,16,206.75,B,Arusha,Longido,9,7,1.2857142857142858,1.0,21.169049626976054
430,NGEREYANI,PS0104017,36,135.4167,C,Arusha,Longido,26,10,2.6,0.6666666666666666,44.33277801361337
431,NGOSWAK,PS0104027,25,109.8,D,Arusha,Longido,10,15,0.6666666666666666,0.28,26.93993318477238
432,NOONDOTO,PS0104025,88,88.1932,D,Arusha,Longido,41,47,0.8723404255319149,0.10227272727272728,23.81332883825753
433,OLCHORONYOKIE,PS0104026,36,164.3333,C,Arusha,Longido,18,18,1.0,0.8888888888888888,43.322934894646764
434,OLMOLOG,PS0104018,62,145.7742,C,Arusha,Longido,36,26,1.3846153846153846,0.7096774193548387,42.14957756203078
435,OLTEPES,PS0104044,33,204.8485,B,Arusha,Longido,9,24,0.375,1.0,17.24878723728207
